Class: RandomUTF8, Path: external_proj/simdjson/tests/unicode_tests.cpp, Start Line: 7, End Line: 25
Class: comment_parser, Path: external_proj/simdjson/dependencies/.cache/boostjson/test/basic_parser.cpp, Start Line: 877, End Line: 941
Class: utf8_parser, Path: external_proj/simdjson/dependencies/.cache/boostjson/test/basic_parser.cpp, Start Line: 1074, End Line: 1139
Class: literal_parser, Path: external_proj/simdjson/dependencies/.cache/boostjson/test/basic_parser.cpp, Start Line: 1375, End Line: 1451
Class: value_stack, Path: external_proj/simdjson/dependencies/.cache/boostjson/include/boost/json/value_stack.hpp, Start Line: 117, End Line: 504
Class: value, Path: external_proj/simdjson/dependencies/.cache/boostjson/include/boost/json/value.hpp, Start Line: 54, End Line: 3376
Class: key_value_pair, Path: external_proj/simdjson/dependencies/.cache/boostjson/include/boost/json/value.hpp, Start Line: 3394, End Line: 3707
Class: unchecked_array, Path: external_proj/simdjson/dependencies/.cache/boostjson/include/boost/json/detail/array.hpp, Start Line: 23, End Line: 67
Class: unchecked_object, Path: external_proj/simdjson/dependencies/.cache/boostjson/include/boost/json/detail/object.hpp, Start Line: 23, End Line: 74
Class: file, Path: external_proj/simdjson/dependencies/.cache/boostjson/example/file.hpp, Start Line: 17, End Line: 131
Class: proxy, Path: external_proj/simdjson/dependencies/.cache/boostjson/example/proxy.cpp, Start Line: 14, End Line: 54
Class: NotImplementedException, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/catch.hpp, Start Line: 430, End Line: 443
Class: AssertionResult, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/catch.hpp, Start Line: 850, End Line: 878
Class: ScopedMessage, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/catch.hpp, Start Line: 1938, End Line: 1945
Class: WildcardPattern, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/catch.hpp, Start Line: 3114, End Line: 3167
Class: Config, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/catch.hpp, Start Line: 3527, End Line: 3603
Class: Text, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/catch.hpp, Start Line: 3681, End Line: 3771
Class: Parser, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/catch.hpp, Start Line: 4118, End Line: 4201
Class: TrackerContext, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/catch.hpp, Start Line: 5502, End Line: 5551
Class: TrackerHasName, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/catch.hpp, Start Line: 5563, End Line: 5570
Class: StreamRedirect, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/catch.hpp, Start Line: 5850, End Line: 5871
Class: FreeFunctionTestCase, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/catch.hpp, Start Line: 6532, End Line: 6545
Class: LegacyReporterAdapter, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/catch.hpp, Start Line: 7597, End Line: 7619
Class: XmlEncode, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/catch.hpp, Start Line: 8869, End Line: 8922
Class: AssertionPrinter, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/catch.hpp, Start Line: 9578, End Line: 9715
Class: Argv, Path: external_proj/simdjson/dependencies/.cache/cxxopts/test/options.cpp, Start Line: 7, End Line: 42
Class: OptionException, Path: external_proj/simdjson/dependencies/.cache/cxxopts/include/cxxopts.hpp, Start Line: 325, End Line: 341
Class: standard_value, Path: external_proj/simdjson/dependencies/.cache/cxxopts/include/cxxopts.hpp, Start Line: 932, End Line: 964
Class: OptionDetails, Path: external_proj/simdjson/dependencies/.cache/cxxopts/include/cxxopts.hpp, Start Line: 983, End Line: 1044
Class: ParseResult, Path: external_proj/simdjson/dependencies/.cache/cxxopts/include/cxxopts.hpp, Start Line: 1170, End Line: 1260
Class: OptionAdder, Path: external_proj/simdjson/dependencies/.cache/cxxopts/include/cxxopts.hpp, Start Line: 1423, End Line: 1445
Class: Exception, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 591, End Line: 599
Class: Comments, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1158, End Line: 1172
Class: Path, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1241, End Line: 1265
Class: ValueIteratorBase, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1270, End Line: 1339
Class: Reader, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1509, End Line: 1713
Class: StreamWriter, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1933, End Line: 1958
Class: StyledStreamWriter, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 2192, End Line: 2232
Class: OurReader, Path: external_proj/simdjson/dependencies/jsoncppdist/jsoncpp.cpp, Start Line: 1120, End Line: 1230
